Line item,43-4071,File clerks
Line item,43-4081,"Hotel, motel, and resort desk clerks"
Line item,43-4111,"Interviewers, except eligibility and loan"
Line item,43-4121,"Library assistants, clerical"
Line item,43-4131,Loan interviewers and clerks
Line item,43-4141,New accounts clerks
Line item,43-4151,Order clerks
Line item,43-4161,"Human resources assistants, except payroll and timekeeping"
Line item,43-4171,Receptionists and information clerks
Line item,43-4181,Reservation and transportation ticket agents and travel clerks
Line item,43-4199,"Information and record clerks, all other"
Summary,43-5000,"Material recording, scheduling, dispatching, and distributing workers"
Line item,43-5011,Cargo and freight agents
Line item,43-5021,Couriers and messengers
Summary,43-5030,Dispatchers
Line item,43-5031,"Police, fire, and ambulance dispatchers"
Line item,43-5032,"Dispatchers, except police, fire, and ambulance"
Line item,43-5041,"Meter readers, utilities"
Summary,43-5050,Postal service workers
Line item,43-5051,Postal service clerks
Line item,43-5052,Postal service mail carriers
Line item,43-5053,"Postal service mail sorters, processors, and processing machine operators"
Line item,43-5061,"Production, planning, and expediting clerks"
Line item,43-5071,"Shipping, receiving, and traffic clerks"
Line item,43-5081,Stock clerks and order fillers
Line item,43-5111,"Weighers, measurers, checkers, and samplers, recordkeeping"
Summary,43-6000,Secretaries and administrative assistants
Line item,43-6011,Executive secretaries and executive administrative assistants
Line item,43-6012,Legal secretaries
Line item,43-6013,Medical secretaries
Line item,43-6014,"Secretaries and administrative assistants, except legal, medical, and executive"
Summary,43-9000,Other office and administrative support workers
Line item,43-9011,Computer operators
Summary,43-9020,Data entry and information processing workers
Line item,43-9021,Data entry keyers
Line item,43-9022,Word processors and typists
Line item,43-9031,Desktop publishers
Line item,43-9041,Insurance claims and policy processing clerks
Line item,43-9051,"Mail clerks and mail machine operators, except postal service"
Line item,43-9061,"Office clerks, general"
Line item,43-9071,"Office machine operators, except computer"
Line item,43-9081,Proofreaders and copy markers
Line item,43-9111,Statistical assistants
Line item,43-9199,"Office and administrative support workers, all other"
Summary,45-0000,"Farming, fishing, and forestry occupations"
Summary,45-1000,"Supervisors of farming, fishing, and forestry workers"
Line item,45-1011,"First-line supervisors of farming, fishing, and forestry workers"
Summary,45-2000,Agricultural workers
Line item,45-2011,Agricultural inspectors
Line item,45-2021,Animal breeders
Line item,45-2041,"Graders and sorters, agricultural products"
Summary,45-2090,Miscellaneous agricultural workers
Line item,45-2091,Agricultural equipment operators
Line item,45-2092,"Farmworkers and laborers, crop, nursery, and greenhouse"
Line item,45-2093,"Farmworkers, farm, ranch, and aquacultural animals"
Line item,45-2099,"Agricultural workers, all other"
Line item,45-3000,Fishing and hunting workers
Summary,45-4000,"Forest, conservation, and logging workers"
Line item,45-4011,Forest and conservation workers
Summary,45-4020,Logging workers
Line item,45-4021,Fallers
Line item,45-4022,Logging equipment operators
Line item,45-4023,Log graders and scalers
Line item,45-4029,"Logging workers, all other"
Summary,47-0000,Construction and extraction occupations
Summary,47-1000,Supervisors of construction and extraction workers
Line item,47-1011,First-line supervisors of construction trades and extraction workers
Summary,47-2000,Construction trades workers
Line item,47-2011,Boilermakers
Summary,47-2020,"Brickmasons, blockmasons, and stonemasons"
Line item,47-2021,Brickmasons and blockmasons
Line item,47-2022,Stonemasons
Line item,47-2031,Carpenters
Summary,47-2040,"Carpet, floor, and tile installers and finishers"
Line item,47-2041,Carpet installers
Line item,47-2042,"Floor layers, except carpet, wood, and hard tiles"
Line item,47-2043,Floor sanders and finishers
Line item,47-2044,Tile and marble setters
Summary,47-2050,"Cement masons, concrete finishers, and terrazzo workers"
Line item,47-2051,Cement masons and concrete finishers
Line item,47-2053,Terrazzo workers and finishers
Line item,47-2061,Construction laborers
Summary,47-2070,Construction equipment operators
Line item,47-2071,"Paving, surfacing, and tamping equipment operators"
Line item,47-2072,Pile-driver operators
Line item,47-2073,Operating engineers and other construction equipment operators
Summary,47-2080,"Drywall installers, ceiling tile installers, and tapers"
Line item,47-2081,Drywall and ceiling tile installers
Line item,47-2082,Tapers
Line item,47-2111,Electricians
Line item,47-2121,Glaziers
Summary,47-2130,Insulation workers
Line item,47-2131,"Insulation workers, floor, ceiling, and wall"
Line item,47-2132,"Insulation workers, mechanical"
Summary,47-2140,Painters and paperhangers
Line item,47-2141,"Painters, construction and maintenance"
Line item,47-2142,Paperhangers
Summary,47-2150,"Pipelayers, plumbers, pipefitters, and steamfitters"
Line item,47-2151,Pipelayers
Line item,47-2152,"Plumbers, pipefitters, and steamfitters"
Line item,47-2161,Plasterers and stucco masons
Line item,47-2171,Reinforcing iron and rebar workers
Line item,47-2181,Roofers
Line item,47-2211,Sheet metal workers
Line item,47-2221,Structural iron and steel workers
Line item,47-2231,Solar photovoltaic installers
Summary,47-3000,"Helpers, construction trades"
Line item,47-3011,"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters"
Line item,47-3012,Helpers--carpenters
Line item,47-3013,Helpers--electricians
Line item,47-3014,"Helpers--painters, paperhangers, plasterers, and stucco masons"
Line item,47-3015,"Helpers--pipelayers, plumbers, pipefitters, and steamfitters"
Line item,47-3016,Helpers--roofers
Line item,47-3019,"Helpers, construction trades, all other"
Summary,47-4000,Other construction and related workers
Line item,47-4011,Construction and building inspectors
Line item,47-4021,Elevator installers and repairers
Line item,47-4031,Fence erectors
Line item,47-4041,Hazardous materials removal workers
Line item,47-4051,Highway maintenance workers
Line item,47-4061,Rail-track laying and maintenance equipment operators
Line item,47-4071,Septic tank servicers and sewer pipe cleaners
Summary,47-4090,Miscellaneous construction and related workers
Line item,47-4091,Segmental pavers
Line item,47-4099,"Construction and related workers, all other"
Summary,47-5000,Extraction workers
Summary,47-5010,"Derrick, rotary drill, and service unit operators, oil, gas, and mining"
Line item,47-5011,"Derrick operators, oil and gas"
Line item,47-5012,"Rotary drill operators, oil and gas"
Line item,47-5013,"Service unit operators, oil, gas, and mining"
Line item,47-5021,"Earth drillers, except oil and gas"
Line item,47-5031,"Explosives workers, ordnance handling experts, and blasters"
Summary,47-5040,Mining machine operators
Line item,47-5041,Continuous mining machine operators
Line item,47-5042,Mine cutting and channeling machine operators
Line item,47-5049,"Mining machine operators, all other"
Line item,47-5051,"Rock splitters, quarry"
Line item,47-5061,"Roof bolters, mining"
Line item,47-5071,"Roustabouts, oil and gas"
Line item,47-5081,Helpers--extraction workers
Line item,47-5099,"Extraction workers, all other"
Summary,49-0000,"Installation, maintenance, and repair occupations"
Summary,49-1000,"Supervisors of installation, maintenance, and repair workers"
Line item,49-1011,"First-line supervisors of mechanics, installers, and repairers"
Summary,49-2000,"Electrical and electronic equipment mechanics, installers, and repairers"
Line item,49-2011,"Computer, automated teller, and office machine repairers"
Summary,49-2020,Radio and telecommunications equipment installers and repairers
Line item,49-2021,"Radio, cellular, and tower equipment installers and repairs"
Line item,49-2022,"Telecommunications equipment installers and repairers, except line installers"
Summary,49-2090,"Miscellaneous electrical and electronic equipment mechanics, installers, and repairers"
Line item,49-2091,Avionics technicians
Line item,49-2092,"Electric motor, power tool, and related repairers"
Line item,49-2093,"Electrical and electronics installers and repairers, transportation equipment"
Line item,49-2094,"Electrical and electronics repairers, commercial and industrial equipment"
Line item,49-2095,"Electrical and electronics repairers, powerhouse, substation, and relay"
Line item,49-2096,"Electronic equipment installers and repairers, motor vehicles"
Line item,49-2097,Electronic home entertainment equipment installers and repairers
Line item,49-2098,Security and fire alarm systems installers
Summary,49-3000,"Vehicle and mobile equipment mechanics, installers, and repairers"
Line item,49-3011,Aircraft mechanics and service technicians
Summary,49-3020,Automotive technicians and repairers
Line item,49-3021,Automotive body and related repairers
Line item,49-3022,Automotive glass installers and repairers
Line item,49-3023,Automotive service technicians and mechanics
Line item,49-3031,Bus and truck mechanics and diesel engine specialists
Summary,49-3040,Heavy vehicle and mobile equipment service technicians and mechanics
Line item,49-3041,Farm equipment mechanics and service technicians
Line item,49-3042,"Mobile heavy equipment mechanics, except engines"
Line item,49-3043,Rail car repairers
Summary,49-3050,Small engine mechanics
Line item,49-3051,Motorboat mechanics and service technicians
Line item,49-3052,Motorcycle mechanics
Line item,49-3053,Outdoor power equipment and other small engine mechanics
Summary,49-3090,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers"
Line item,49-3091,Bicycle repairers
Line item,49-3092,Recreational vehicle service technicians
Line item,49-3093,Tire repairers and changers
Summary,49-9000,"Other installation, maintenance, and repair occupations"
Summary,49-9010,Control and valve installers and repairers
Line item,49-9011,Mechanical door repairers
Line item,49-9012,"Control and valve installers and repairers, except mechanical door"
Line item,49-9021,"Heating, air conditioning, and refrigeration mechanics and installers"
Line item,49-9031,Home appliance repairers
Summary,49-9040,"Industrial machinery installation, repair, and maintenance workers"
Line item,49-9041,Industrial machinery mechanics
Line item,49-9043,"Maintenance workers, machinery"
Line item,49-9044,Millwrights
Line item,49-9045,"Refractory materials repairers, except brickmasons"
Summary,49-9050,Line installers and repairers
Line item,49-9051,Electrical power-line installers and repairers
Line item,49-9052,Telecommunications line installers and repairers
Summary,49-9060,Precision instrument and equipment repairers
Line item,49-9061,Camera and photographic equipment repairers
Line item,49-9062,Medical equipment repairers
Line item,49-9063,Musical instrument repairers and tuners
Line item,49-9064,Watch repairers
Line item,49-9069,"Precision instrument and equipment repairers, all other"
Line item,49-9071,"Maintenance and repair workers, general"
Line item,49-9081,Wind turbine service technicians
Summary,49-9090,"Miscellaneous installation, maintenance, and repair workers"
Line item,49-9091,"Coin, vending, and amusement machine servicers and repairers"
Line item,49-9092,Commercial divers
Line item,49-9093,"Fabric menders, except garment"
Line item,49-9094,Locksmiths and safe repairers
Line item,49-9095,Manufactured building and mobile home installers
Line item,49-9096,Riggers
Line item,49-9097,Signal and track switch repairers
Line item,49-9098,"Helpers--installation, maintenance, and repair workers"
Line item,49-9099,"Installation, maintenance, and repair workers, all other"
Summary,51-0000,Production occupations
Summary,51-1000,Supervisors of production workers
Line item,51-1011,First-line supervisors of production and operating workers
Summary,51-2000,Assemblers and fabricators
Line item,51-2011,"Aircraft structure, surfaces, rigging, and systems assemblers"
Summary,51-2020,"Electrical, electronics, and electromechanical assemblers"
Line item,51-2021,"Coil winders, tapers, and finishers"
Line item,51-2022,Electrical and electronic equipment assemblers
Line item,51-2023,Electromechanical equipment assemblers
Line item,51-2031,Engine and other machine assemblers
Line item,51-2041,Structural metal fabricators and fitters
Summary,51-2090,Miscellaneous assemblers and fabricators
Line item,51-2091,Fiberglass laminators and fabricators
Line item,51-2092,Team assemblers
Line item,51-2093,Timing device assemblers and adjusters
Line item,51-2099,"Assemblers and fabricators, all other"
Summary,51-3000,Food processing workers
Line item,51-3011,Bakers
Summary,51-3020,"Butchers and other meat, poultry, and fish processing workers"
Line item,51-3021,Butchers and meat cutters
Line item,51-3022,"Meat, poultry, and fish cutters and trimmers"
Line item,51-3023,Slaughterers and meat packers
Summary,51-3090,Miscellaneous food processing workers
Line item,51-3091,"Food and tobacco roasting, baking, and drying machine operators and tenders"
Line item,51-3092,Food batchmakers
Line item,51-3093,Food cooking machine operators and tenders
Line item,51-3099,"Food processing workers, all other"
Summary,51-4000,Metal workers and plastic workers
Summary,51-4010,Computer control programmers and operators
Line item,51-4011,"Computer-controlled machine tool operators, metal and plastic"
Line item,51-4012,"Computer numerically controlled machine tool programmers, metal and plastic"
Summary,51-4020,"Forming machine setters, operators, and tenders, metal and plastic"
Line item,51-4021,"Extruding and drawing machine setters, operators, and tenders, metal and plastic"
Line item,51-4022,"Forging machine setters, operators, and tenders, metal and plastic"
Line item,51-4023,"Rolling machine setters, operators, and tenders, metal and plastic"
Summary,51-4030,"Machine tool cutting setters, operators, and tenders, metal and plastic"
Line item,51-4031,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic"
Line item,51-4032,"Drilling and boring machine tool setters, operators, and tenders, metal and plastic"
Line item,51-4033,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic"
Line item,51-4034,"Lathe and turning machine tool setters, operators, and tenders, metal and plastic"
Line item,51-4035,"Milling and planing machine setters, operators, and tenders, metal and plastic"
Line item,51-4041,Machinists
Summary,51-4050,"Metal furnace operators, tenders, pourers, and casters"
Line item,51-4051,Metal-refining furnace operators and tenders
Line item,51-4052,"Pourers and casters, metal"
Summary,51-4060,"Model makers and patternmakers, metal and plastic"
Line item,51-4061,"Model makers, metal and plastic"
Line item,51-4062,"Patternmakers, metal and plastic"
Summary,51-4070,"Molders and molding machine setters, operators, and tenders, metal and plastic"
Line item,51-4071,Foundry mold and coremakers
Line item,51-4072,"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic"
Line item,51-4081,"Multiple machine tool setters, operators, and tenders, metal and plastic"
Line item,51-4111,Tool and die makers
Summary,51-4120,"Welding, soldering, and brazing workers"
Line item,51-4121,"Welders, cutters, solderers, and brazers"
Line item,51-4122,"Welding, soldering, and brazing machine setters, operators, and tenders"
Summary,51-4190,Miscellaneous metal workers and plastic workers
Line item,51-4191,"Heat treating equipment setters, operators, and tenders, metal and plastic"
Line item,51-4192,"Layout workers, metal and plastic"
Line item,51-4193,"Plating and coating machine setters, operators, and tenders, metal and plastic"
Line item,51-4194,"Tool grinders, filers, and sharpeners"
Line item,51-4199,"Metal workers and plastic workers, all other"
Summary,51-5100,Printing workers
Line item,51-5111,Prepress technicians and workers
Line item,51-5112,Printing press operators
Line item,51-5113,Print binding and finishing workers
Summary,51-6000,"Textile, apparel, and furnishings workers"
Line item,51-6011,Laundry and dry-cleaning workers
Line item,51-6021,"Pressers, textile, garment, and related materials"
Line item,51-6031,Sewing machine operators
Summary,51-6040,Shoe and leather workers
Line item,51-6041,Shoe and leather workers and repairers
Line item,51-6042,Shoe machine operators and tenders
Summary,51-6050,"Tailors, dressmakers, and sewers"
Line item,51-6051,"Sewers, hand"
Line item,51-6052,"Tailors, dressmakers, and custom sewers"
Summary,51-6060,"Textile machine setters, operators, and tenders"
Line item,51-6061,Textile bleaching and dyeing machine operators and tenders
Line item,51-6062,"Textile cutting machine setters, operators, and tenders"
Line item,51-6063,"Textile knitting and weaving machine setters, operators, and tenders"
Line item,51-6064,"Textile winding, twisting, and drawing out machine setters, operators, and tenders"
Summary,51-6090,"Miscellaneous textile, apparel, and furnishings workers"
Line item,51-6091,"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers"
Line item,51-6092,Fabric and apparel patternmakers
Line item,51-6093,Upholsterers
Line item,51-6099,"Textile, apparel, and furnishings workers, all other"
Summary,51-7000,Woodworkers
Line item,51-7011,Cabinetmakers and bench carpenters
Line item,51-7021,Furniture finishers
Summary,51-7030,"Model makers and patternmakers, wood"
Line item,51-7031,"Model makers, wood"
Line item,51-7032,"Patternmakers, wood"
Summary,51-7040,"Woodworking machine setters, operators, and tenders"
Line item,51-7041,"Sawing machine setters, operators, and tenders, wood"
Line item,51-7042,"Woodworking machine setters, operators, and tenders, except sawing"
Line item,51-7099,"Woodworkers, all other"
Summary,51-8000,Plant and system operators
Summary,51-8010,"Power plant operators, distributors, and dispatchers"
Line item,51-8011,Nuclear power reactor operators
Line item,51-8012,Power distributors and dispatchers
Line item,51-8013,Power plant operators
Line item,51-8021,Stationary engineers and boiler operators
Line item,51-8031,Water and wastewater treatment plant and system operators
Summary,51-8090,Miscellaneous plant and system operators
Line item,51-8091,Chemical plant and system operators
Line item,51-8092,Gas plant operators
Line item,51-8093,"Petroleum pump system operators, refinery operators, and gaugers"
Line item,51-8099,"Plant and system operators, all other"
Summary,51-9000,Other production occupations
Summary,51-9010,"Chemical processing machine setters, operators, and tenders"
Line item,51-9011,Chemical equipment operators and tenders
Line item,51-9012,"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders"
Summary,51-9020,"Crushing, grinding, polishing, mixing, and blending workers"
Line item,51-9021,"Crushing, grinding, and polishing machine setters, operators, and tenders"
Line item,51-9022,"Grinding and polishing workers, hand"
Line item,51-9023,"Mixing and blending machine setters, operators, and tenders"
Summary,51-9030,Cutting workers
Line item,51-9031,"Cutters and trimmers, hand"
Line item,51-9032,"Cutting and slicing machine setters, operators, and tenders"
Line item,51-9041,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders"
Line item,51-9051,"Furnace, kiln, oven, drier, and kettle operators and tenders"
Line item,51-9061,"Inspectors, testers, sorters, samplers, and weighers"
Line item,51-9071,Jewelers and precious stone and metal workers
Summary,51-9080,"Medical, dental, and ophthalmic laboratory technicians"
Line item,51-9081,Dental laboratory technicians
Line item,51-9082,Medical appliance technicians
Line item,51-9083,Ophthalmic laboratory technicians
Line item,51-9111,Packaging and filling machine operators and tenders
Summary,51-9120,Painting workers
Line item,51-9121,"Coating, painting, and spraying machine setters, operators, and tenders"
Line item,51-9122,"Painters, transportation equipment"
Line item,51-9123,"Painting, coating, and decorating workers"
Line item,51-9141,Semiconductor processors
Line item,51-9151,Photographic process workers and processing machine operators
Summary,51-9190,Miscellaneous production workers
Line item,51-9191,Adhesive bonding machine operators and tenders
Line item,51-9192,"Cleaning, washing, and metal pickling equipment operators and tenders"
Line item,51-9193,Cooling and freezing equipment operators and tenders
Line item,51-9194,Etchers and engravers
Line item,51-9195,"Molders, shapers, and casters, except metal and plastic"
Line item,51-9196,"Paper goods machine setters, operators, and tenders"
Line item,51-9197,Tire builders
Line item,51-9198,Helpers--production workers
Line item,51-9199,"Production workers, all other"
Summary,53-0000,Transportation and material moving occupations
Summary,53-1000,Supervisors of transportation and material moving workers
Line item,53-1011,Aircraft cargo handling supervisors
Line item,53-1021,"First-line supervisors of helpers, laborers, and material movers, hand"
Line item,53-1031,First-line supervisors of transportation and material-moving machine and vehicle operators
Summary,53-2000,Air transportation workers
Summary,53-2010,Aircraft pilots and flight engineers
Line item,53-2011,"Airline pilots, copilots, and flight engineers"
Line item,53-2012,Commercial pilots
Summary,53-2020,Air traffic controllers and airfield operations specialists
Line item,53-2021,Air traffic controllers
Line item,53-2022,Airfield operations specialists
Line item,53-2031,Flight attendants
Summary,53-3000,Motor vehicle operators
Line item,53-3011,"Ambulance drivers and attendants, except emergency medical technicians"
Summary,53-3020,Bus drivers
Line item,53-3021,"Bus drivers, transit and intercity"
Line item,53-3022,"Bus drivers, school or special client"
Summary,53-3030,Driver/sales workers and truck drivers
Line item,53-3031,Driver/sales workers
Line item,53-3032,Heavy and tractor-trailer truck drivers
Line item,53-3033,Light truck or delivery services drivers
Line item,53-3041,Taxi drivers and chauffeurs
Line item,53-3099,"Motor vehicle operators, all other"
Summary,53-4000,Rail transportation workers
Summary,53-4010,Locomotive engineers and operators
Line item,53-4011,Locomotive engineers
Line item,53-4012,Locomotive firers
Line item,53-4013,"Rail yard engineers, dinkey operators, and hostlers"
Line item,53-4021,"Railroad brake, signal, and switch operators"
Line item,53-4031,Railroad conductors and yardmasters
Line item,53-4041,Subway and streetcar operators
Line item,53-4099,"Rail transportation workers, all other"
Summary,53-5000,Water transportation workers
Line item,53-5011,Sailors and marine oilers
Summary,53-5020,Ship and boat captains and operators
Line item,53-5021,"Captains, mates, and pilots of water vessels"
Line item,53-5022,Motorboat operators
Line item,53-5031,Ship engineers
Summary,53-6000,Other transportation workers
Line item,53-6011,Bridge and lock tenders
Line item,53-6021,Parking lot attendants
Line item,53-6031,Automotive and watercraft service attendants
Line item,53-6041,Traffic technicians
Line item,53-6051,Transportation inspectors
Line item,53-6061,"Transportation attendants, except flight attendants"
Line item,53-6099,"Transportation workers, all other"
Summary,53-7000,Material moving workers
Line item,53-7011,Conveyor operators and tenders
Line item,53-7021,Crane and tower operators
Summary,53-7030,"Dredge, excavating, and loading machine operators"
Line item,53-7031,Dredge operators
Line item,53-7032,Excavating and loading machine and dragline operators
Line item,53-7033,"Loading machine operators, underground mining"
Line item,53-7041,Hoist and winch operators
Line item,53-7051,Industrial truck and tractor operators
Summary,53-7060,"Laborers and material movers, hand"
Line item,53-7061,Cleaners of vehicles and equipment
Line item,53-7062,"Laborers and freight, stock, and material movers, hand"
Line item,53-7063,Machine feeders and offbearers
Line item,53-7064,"Packers and packagers, hand"
Summary,53-7070,Pumping station operators
Line item,53-7071,Gas compressor and gas pumping station operators
Line item,53-7072,"Pump operators, except wellhead pumpers"
Line item,53-7073,Wellhead pumpers
Line item,53-7081,Refuse and recyclable material collectors
Line item,53-7111,Mine shuttle car operators
Line item,53-7121,"Tank car, truck, and ship loaders"
Line item,53-7199,"Material moving workers, all other"
